Bak_activated,cPARP,Bak,p38_pT180,Bcl2_pS70,Erk_p44,APAF,Rb_pS807,Akt_pS473,BclxL,Bax,Bax_activated,Cyclin_B,Bcl2,STAT5_pY694,Mcl1,cMyc,IkBa,Bim,Cyclin_A,H3_pS28,Bad_pS112,ZAP70_pY319,Bclw,aCasp3,p53,S6_pS235,CREB_pS133,Cisplatin
5.625328541,87.27050018,82.59514618,73.53727722,14.53856277,4.416677475,2.165117025,203.3618011,10.50313568,251.2983398,0.417686969,23.37439346,964.835022,137.3615417,49.57983398,511.5797729,49.58761597,104.3037415,148.1290131,72.48731995,2.869792938,7.652070045,1.957795739,4.181254387,7.281692505,101.760025,220.1032867,831.522583,2.088873386
0.954649031,61.853302,43.2788353,28.62801933,7.656143188,1.215414286,12.59680748,408.1687012,3.080724478,168.4250488,4.202208519,6.304400921,25.27516556,40.75742722,23.27047157,375.260376,10.54485321,43.85009766,90.59844971,2.97804904,3.214022875,6.367827415,0.521043181,2.640601158,5.299563885,32.94571304,141.8325348,491.4925232,0.011969516
10.35590172,207.5693054,9.650366783,8.925243378,7.31832695,2.066956282,2.225719213,4.148013115,1.756288409,146.5575256,20.95568657,28.90446854,9.694894791,45.58296967,10.15471363,66.12412262,1.425352454,82.85770416,60.2586174,2.779494762,2.041004896,0.270498455,0.715900064,3.39195776,281.3666077,13.0685997,23.73702431,13.19531727,16.92744446
1.473574042,30.82622528,28.63825226,26.55079079,2.604727983,0.392878562,3.441362858,362.4342651,1.478730083,120.9705811,1.125835657,6.774542809,18.98295975,33.61796951,19.85234451,221.6342621,25.15249634,32.35428238,77.91674805,3.262748003,3.702060223,5.215817928,0,3.161461592,1.109677911,22.45687866,99.46825409,257.3687134,2.030205965
6.914671421,777.6401978,20.47825623,7.405736446,3.736773014,1.076723099,4.366368294,11.27299595,1.162183285,222.9642181,90.91902924,55.02814865,274.5263977,117.7125702,15.92264843,96.72551727,3.984514713,108.0072937,38.17235184,36.88519287,0,0.823779047,0.573313117,8.578941345,708.4984741,20.48093796,141.2380676,13.25610638,23.35724449
2.876394987,383.5752258,11.34695435,13.43801785,1.960694551,0.436966687,3.049889088,4.077118397,1.682712078,201.0668945,106.2898636,80.49274445,23.9530983,67.52244568,11.21045971,80.83816528,1.98055768,36.78878021,47.08460617,4.513025284,1.96385932,0,1.454907179,7.162276745,547.0072021,11.13397884,75.87948608,11.00293446,8.464403152
5.718548775,55.27911758,43.36546326,34.65522385,11.55543137,1.657589197,9.955629349,366.0243225,4.402689934,224.3482513,3.397048473,11.98656464,344.3268738,72.12110901,16.18061066,275.223877,6.726693153,41.50645828,104.3545761,46.86734009,6.498763084,9.958042145,0,7.123175144,2.542373419,68.39065552,114.6122818,332.5372009,0.541763425
8.23901844,142.195816,25.17629623,14.74934483,5.003590584,0,1.920623779,5.424334049,0.954591095,241.8603363,32.85729218,17.56395721,15.02965832,36.80202866,14.28875351,80.24362183,2.256927967,33.19999695,25.43839645,6.008266449,0.537837207,3.624729633,0.557717025,3.048843622,182.6338043,6.453241825,57.82661057,32.57893372,11.83269024
10.10443687,681.0664673,38.37005997,6.526433468,4.747266769,0.681354761,4.066279888,4.356768608,0.466705859,168.9491577,4.682297707,31.59333038,267.0961609,46.37360382,8.407469749,137.9331207,4.740773678,100.6624451,33.5727005,104.8825684,0.362805337,1.26355195,0.533814609,6.89670372,616.1487427,18.54179764,41.79079056,4.599617958,18.2461853
4.866073132,270.0085449,10.09019852,14.11074734,1.55855155,0.552290261,5.60142374,5.526037216,0,125.8310699,6.180748463,19.12311935,11.28415489,67.92921448,18.92346001,49.67343521,4.973594666,93.20820618,28.42191315,5.588011265,0,2.373477221,3.20436573,10.08832264,465.5886536,16.3962822,48.85110474,16.00577545,15.0320015
2.58512044,305.9745178,13.48834229,10.3473444,1.52464509,0.153886527,1.069003224,3.20219779,0,134.7605286,4.155188084,14.49434662,4.471460819,9.481949806,8.540243149,38.48479462,0,30.15361977,16.84161758,1.305626154,0,1.412956715,1.515857577,6.16831398,404.1688538,12.56577778,41.19868088,6.271445751,7.657706738
1.359583735,42.20808792,36.40861893,19.04562187,3.620295286,3.640898943,4.752392769,450.254425,3.366345882,119.2137756,6.745600224,6.115817547,11.40624046,21.72905159,20.18228149,237.4570007,8.347197533,61.64962769,154.2298584,10.98858452,10.11269093,9.684279442,1.638101459,2.202262878,6.762340546,16.94619751,107.1747971,253.4624786,0.078591026
5.032991886,516.739624,8.94649601,9.748897552,7.855136871,0.521662712,0.737873375,0,0,91.17381287,0.261946291,17.01985359,97.02344513,20.25564384,10.70386505,27.24432373,2.376145601,35.56796265,10.08281708,2.958585739,0,1.301828742,0,1.117514133,291.7268677,5.0963974,67.19950867,5.32836628,9.047370911
1.256854296,261.2843323,3.904229641,7.093135834,0.885292053,0,0.365178227,3.396794558,1.00152266,106.1151733,2.031412125,8.068835258,9.539990425,14.60558128,3.274646997,27.3188324,3.407745361,36.65481186,13.235425,1.767851949,0,1.334984064,0.436004698,1.497465849,140.8617554,10.9796505,13.58320713,4.62665987,10.97076321
1.680967808,476.1204834,11.51804829,14.24475765,4.574056149,3.050501585,2.326167583,0.028010864,0.400756836,121.9942169,1.998637438,24.45392609,34.47894287,38.06271744,10.71556664,36.72215271,1.926567078,31.91971016,22.46135712,4.857919216,0,1.321903706,2.086708546,6.555449963,415.3261108,6.561765194,32.76824188,5.574031353,14.79649353
7.599351883,676.5009766,20.7796917,16.67703438,10.24496555,0,1.886921644,6.93024683,1.283807158,91.92228699,0.885349035,21.71100616,10.9364996,34.28016663,10.9238205,72.66553497,4.900436878,70.12535095,23.26239395,6.194212437,0.620736301,5.006180286,2.124666691,2.77725935,445.7877808,14.59319973,52.36975861,17.05980492,14.85805988
